BAC,"Berkana Birth, Ansuz Odin, Kaunaz Fire","Earth Mother, Birth, God, Ancestors, Fire, Knowledge","Divination=2, Conjuration=1, Transmutation=1, Evocation=1"
BAD,"Berkana Birth, Ansuz Odin, Dagaz Dawn","Earth Mother, Birth, God, Ancestors, Intuition, Light Within","Transmutation=2, Divination=2, Conjuration=1"
BAF,"Berkana Birth, Ansuz Odin, Fehu Frey","Earth Mother, Birth, God, Ancestors, Wealth, Mother Rune","Conjuration=1, Transmutation=1, Divination=1, Enchantment=1"
BAG,"Berkana Birth, Ansuz Odin, Gebo Gift","Earth Mother, Birth, God, Ancestors, Divine Interaction","Conjuration=2, Transmutation=2, Divination=1"
BAH,"Berkana Birth, Ansuz Odin, Hagalaz Air","Earth Mother, Birth, God, Ancestors, Transformation, Egg of Life","Transmutation=2, Conjuration=1, Divination=1"
BAJ,"Berkana Birth, Ansuz Odin, Jera Earth","Earth Mother, Birth, God, Ancestors, Cycles, Right Action","Transmutation=2, Divination=2, Conjuration=1"
BAK,"Berkana Birth, Ansuz Odin, Kaunaz Fire","Earth Mother, Birth, God, Ancestors, Fire, Knowledge","Divination=2, Conjuration=1, Transmutation=1, Evocation=1"
BAL,"Berkana Birth, Ansuz Odin, Laguz Water","Earth Mother, Birth, God, Ancestors, Fertility, Living Renewal","Conjuration=2, Transmutation=2, Divination=1"
BAM,"Berkana Birth, Ansuz Odin, Mannaz Man","Earth Mother, Birth, God, Ancestors, Divine Union, Manifestation","Conjuration=2, Transmutation=2, Divination=1, Illusion=1"
BAN,"Berkana Birth, Ansuz Odin, Nauthiz Necessity","Earth Mother, Birth, God, Ancestors, Needs, Friction, Shadow","Conjuration=1, Transmutation=1, Divination=1, Enchantment=1, Illusion=1, Necromancy=1"
BANG,"Berkana Birth, Ansuz Odin, Inguz Fertility","Earth Mother, Birth, God, Ancestors, True Love, Music, Harmony","Transmutation=2, Divination=2, Conjuration=1, Enchantment=1"
BAP,"Berkana Birth, Ansuz Odin, Peorth Hearth","Earth Mother, Birth, God, Ancestors, Divination, Luck, Primal Law","Transmutation=2, Divination=2, Conjuration=1"
BAQ,"Berkana Birth, Ansuz Odin, Kaunaz Fire","Earth Mother, Birth, God, Ancestors, Fire, Knowledge","Divination=2, Conjuration=1, Transmutation=1, Evocation=1"
BAR,"Berkana Birth, Ansuz Odin, Raido Wheel","Earth Mother, Birth, God, Ancestors, Solar Chariot, Rhythm","Transmutation=2, Conjuration=1, Divination=1, Enchantment=1"
BAS,"Berkana Birth, Ansuz Odin, Sowulo Sun","Earth Mother, Birth, God, Ancestors, Thunderbolt, Wheel of Power","Transmutation=2, Conjuration=1, Divination=1, Evocation=1"
BAT,"Berkana Birth, Ansuz Odin, Teiwaz Victory","Earth Mother, Birth, God, Ancestors, Masculine Gods, Warrior Rune","Conjuration=1, Transmutation=1, Divination=1, Evocation=1, Enchantment=1"
BATH,"Berkana Birth, Ansuz Odin, Thurisaz Thor","Earth Mother, Birth, God, Ancestors, Protection, Polarity, Regeneration","Transmutation=2, Conjuration=1, Divination=1, Abjuration=1, Necromancy=1"
BAV,"Berkana Birth, Ansuz Odin, Wunjo Joy","Earth Mother, Birth, God, Ancestors, Kinship, Heritage, Joy","Conjuration=1, Transmutation=1, Divination=1, Enchantment=1"
BAW,"Berkana Birth, Ansuz Odin, Wunjo Joy","Earth Mother, Birth, God, Ancestors, Kinship, Heritage, Joy","Conjuration=1, Transmutation=1, Divination=1, Enchantment=1"
BAX,"Berkana Birth, Ansuz Odin, Thurisaz Thor","Earth Mother, Birth, God, Ancestors, Protection, Polarity, Regeneration","Transmutation=2, Conjuration=1, Divination=1, Abjuration=1, Necromancy=1"
BAY,"Berkana Birth, Ansuz Odin, Eiwaz Death","Earth Mother, Birth, God, Ancestors,  Tree of Life, Dreaming, Magic","Divination=2, Conjuration=1, Transmutation=1, Illusion=1"
BAZ,"Berkana Birth, Ansuz Odin, Algiz Protection","Earth Mother, Birth, God, Ancestors, Divine Protection, Sanctuary","Conjuration=1, Transmutation=1, Divination=1, Abjuration=1"
BAE,"Berkana Birth, Ansuz Odin, Ehwaz Fire","Earth Mother, Birth, God, Ancestors, Fire, Knowledge","Divination=2, Conjuration=1, Transmutation=1, Evocation=1"
BAI,"Berkana Birth, Ansuz Odin, Isa Ice","Earth Mother, Birth, God, Ancestors, Cosmic Coherence","Transmutation=2, Conjuration=1, Divination=1"
BAO,"Berkana Birth, Ansuz Odin, Othila Ancestral","Earth Mother, Birth, God, Ancestors, Inherited Property, Genetics","Transmutation=2, Divination=2, Conjuration=1"
BAU,"Berkana Birth, Ansuz Odin, Uruz Power","Earth Mother, Birth, God, Ancestors, Primal Creative Force, Gateway","Transmutation=2, Conjuration=1, Divination=1, Evocation=1"
BEC,"Berkana Birth, Ehwaz Fire, Kaunaz Fire","Earth Mother, Birth, Fire, Knowledge, Fire, Knowledge","Divination=2, Evocation=2, Conjuration=1, Transmutation=1"
BED,"Berkana Birth, Ehwaz Fire, Dagaz Dawn","Earth Mother, Birth, Fire, Knowledge, Intuition, Light Within","Transmutation=2, Divination=2, Conjuration=1, Evocation=1"
BEF,"Berkana Birth, Ehwaz Fire, Fehu Frey","Earth Mother, Birth, Fire, Knowledge, Wealth, Mother Rune","Conjuration=1, Transmutation=1, Divination=1, Evocation=1, Enchantment=1"
BEG,"Berkana Birth, Ehwaz Fire, Gebo Gift","Earth Mother, Birth, Fire, Knowledge, Divine Interaction","Conjuration=2, Transmutation=2, Divination=1, Evocation=1"
BEH,"Berkana Birth, Ehwaz Fire, Hagalaz Air","Earth Mother, Birth, Fire, Knowledge, Transformation, Egg of Life","Transmutation=2, Conjuration=1, Divination=1, Evocation=1"
BEJ,"Berkana Birth, Ehwaz Fire, Jera Earth","Earth Mother, Birth, Fire, Knowledge, Cycles, Right Action","Transmutation=2, Divination=2, Conjuration=1, Evocation=1"
BEK,"Berkana Birth, Ehwaz Fire, Kaunaz Fire","Earth Mother, Birth, Fire, Knowledge, Fire, Knowledge","Divination=2, Evocation=2, Conjuration=1, Transmutation=1"
BEL,"Berkana Birth, Ehwaz Fire, Laguz Water","Earth Mother, Birth, Fire, Knowledge, Fertility, Living Renewal","Conjuration=2, Transmutation=2, Divination=1, Evocation=1"
BEM,"Berkana Birth, Ehwaz Fire, Mannaz Man","Earth Mother, Birth, Fire, Knowledge, Divine Union, Manifestation","Conjuration=2, Transmutation=2, Divination=1, Evocation=1, Illusion=1"
BEN,"Berkana Birth, Ehwaz Fire, Nauthiz Necessity","Earth Mother, Birth, Fire, Knowledge, Needs, Friction, Shadow","Conjuration=1, Transmutation=1, Divination=1, Evocation=1, Enchantment=1, Illusion=1, Necromancy=1"
BENG,"Berkana Birth, Ehwaz Fire, Inguz Fertility","Earth Mother, Birth, Fire, Knowledge, True Love, Music, Harmony","Transmutation=2, Divination=2, Conjuration=1, Evocation=1, Enchantment=1"
BEP,"Berkana Birth, Ehwaz Fire, Peorth Hearth","Earth Mother, Birth, Fire, Knowledge, Divination, Luck, Primal Law","Transmutation=2, Divination=2, Conjuration=1, Evocation=1"
BEQ,"Berkana Birth, Ehwaz Fire, Kaunaz Fire","Earth Mother, Birth, Fire, Knowledge, Fire, Knowledge","Divination=2, Evocation=2, Conjuration=1, Transmutation=1"
BER,"Berkana Birth, Ehwaz Fire, Raido Wheel","Earth Mother, Birth, Fire, Knowledge, Solar Chariot, Rhythm","Transmutation=2, Conjuration=1, Divination=1, Evocation=1, Enchantment=1"
BES,"Berkana Birth, Ehwaz Fire, Sowulo Sun","Earth Mother, Birth, Fire, Knowledge, Thunderbolt, Wheel of Power","Transmutation=2, Evocation=2, Conjuration=1, Divination=1"
BET,"Berkana Birth, Ehwaz Fire, Teiwaz Victory","Earth Mother, Birth, Fire, Knowledge, Masculine Gods, Warrior Rune","Evocation=2, Conjuration=1, Transmutation=1, Divination=1, Enchantment=1"
BETH,"Berkana Birth, Ehwaz Fire, Thurisaz Thor","Earth Mother, Birth, Fire, Knowledge, Protection, Polarity, Regeneration","Transmutation=2, Conjuration=1, Divination=1, Evocation=1, Abjuration=1, Necromancy=1"
BEV,"Berkana Birth, Ehwaz Fire, Wunjo Joy","Earth Mother, Birth, Fire, Knowledge, Kinship, Heritage, Joy","Conjuration=1, Transmutation=1, Divination=1, Evocation=1, Enchantment=1"
BEW,"Berkana Birth, Ehwaz Fire, Wunjo Joy","Earth Mother, Birth, Fire, Knowledge, Kinship, Heritage, Joy","Conjuration=1, Transmutation=1, Divination=1, Evocation=1, Enchantment=1"
BEX,"Berkana Birth, Ehwaz Fire, Thurisaz Thor","Earth Mother, Birth, Fire, Knowledge, Protection, Polarity, Regeneration","Transmutation=2, Conjuration=1, Divination=1, Evocation=1, Abjuration=1, Necromancy=1"
BEY,"Berkana Birth, Ehwaz Fire, Eiwaz Death","Earth Mother, Birth, Fire, Knowledge,  Tree of Life, Dreaming, Magic","Divination=2, Conjuration=1, Transmutation=1, Evocation=1, Illusion=1"
BEZ,"Berkana Birth, Ehwaz Fire, Algiz Protection","Earth Mother, Birth, Fire, Knowledge, Divine Protection, Sanctuary","Conjuration=1, Transmutation=1, Divination=1, Evocation=1, Abjuration=1"
BEA,"Berkana Birth, Ehwaz Fire, Ansuz Odin","Earth Mother, Birth, Fire, Knowledge, God, Ancestors","Divination=2, Conjuration=1, Transmutation=1, Evocation=1"
BEI,"Berkana Birth, Ehwaz Fire, Isa Ice","Earth Mother, Birth, Fire, Knowledge, Cosmic Coherence","Transmutation=2, Conjuration=1, Divination=1, Evocation=1"
BEO,"Berkana Birth, Ehwaz Fire, Othila Ancestral","Earth Mother, Birth, Fire, Knowledge, Inherited Property, Genetics","Transmutation=2, Divination=2, Conjuration=1, Evocation=1"
BEU,"Berkana Birth, Ehwaz Fire, Uruz Power","Earth Mother, Birth, Fire, Knowledge, Primal Creative Force, Gateway","Transmutation=2, Evocation=2, Conjuration=1, Divination=1"
BIC,"Berkana Birth, Isa Ice, Kaunaz Fire","Earth Mother, Birth, Cosmic Coherence, Fire, Knowledge","Transmutation=2, Conjuration=1, Divination=1, Evocation=1"
BID,"Berkana Birth, Isa Ice, Dagaz Dawn","Earth Mother, Birth, Cosmic Coherence, Intuition, Light Within","Transmutation=3, Conjuration=1, Divination=1"
BIF,"Berkana Birth, Isa Ice, Fehu Frey","Earth Mother, Birth, Cosmic Coherence, Wealth, Mother Rune","Transmutation=2, Conjuration=1, Enchantment=1"
BIG,"Berkana Birth, Isa Ice, Gebo Gift","Earth Mother, Birth, Cosmic Coherence, Divine Interaction","Transmutation=3, Conjuration=2"
BIH,"Berkana Birth, Isa Ice, Hagalaz Air","Earth Mother, Birth, Cosmic Coherence, Transformation, Egg of Life","Transmutation=3, Conjuration=1"
BIJ,"Berkana Birth, Isa Ice, Jera Earth","Earth Mother, Birth, Cosmic Coherence, Cycles, Right Action","Transmutation=3, Conjuration=1, Divination=1"
BIK,"Berkana Birth, Isa Ice, Kaunaz Fire","Earth Mother, Birth, Cosmic Coherence, Fire, Knowledge","Transmutation=2, Conjuration=1, Divination=1, Evocation=1"
BIL,"Berkana Birth, Isa Ice, Laguz Water","Earth Mother, Birth, Cosmic Coherence, Fertility, Living Renewal","Transmutation=3, Conjuration=2"
BIM,"Berkana Birth, Isa Ice, Mannaz Man","Earth Mother, Birth, Cosmic Coherence, Divine Union, Manifestation","Transmutation=3, Conjuration=2, Illusion=1"
BIN,"Berkana Birth, Isa Ice, Nauthiz Necessity","Earth Mother, Birth, Cosmic Coherence, Needs, Friction, Shadow","Transmutation=2, Conjuration=1, Enchantment=1, Illusion=1, Necromancy=1"
BING,"Berkana Birth, Isa Ice, Inguz Fertility","Earth Mother, Birth, Cosmic Coherence, True Love, Music, Harmony","Transmutation=3, Conjuration=1, Divination=1, Enchantment=1"
BIP,"Berkana Birth, Isa Ice, Peorth Hearth","Earth Mother, Birth, Cosmic Coherence, Divination, Luck, Primal Law","Transmutation=3, Conjuration=1, Divination=1"
BIQ,"Berkana Birth, Isa Ice, Kaunaz Fire","Earth Mother, Birth, Cosmic Coherence, Fire, Knowledge","Transmutation=2, Conjuration=1, Divination=1, Evocation=1"
BIR,"Berkana Birth, Isa Ice, Raido Wheel","Earth Mother, Birth, Cosmic Coherence, Solar Chariot, Rhythm","Transmutation=3, Conjuration=1, Enchantment=1"
BIS,"Berkana Birth, Isa Ice, Sowulo Sun","Earth Mother, Birth, Cosmic Coherence, Thunderbolt, Wheel of Power","Transmutation=3, Conjuration=1, Evocation=1"
BIT,"Berkana Birth, Isa Ice, Teiwaz Victory","Earth Mother, Birth, Cosmic Coherence, Masculine Gods, Warrior Rune","Transmutation=2, Conjuration=1, Evocation=1, Enchantment=1"
BITH,"Berkana Birth, Isa Ice, Thurisaz Thor","Earth Mother, Birth, Cosmic Coherence, Protection, Polarity, Regeneration","Transmutation=3, Conjuration=1, Abjuration=1, Necromancy=1"
BIV,"Berkana Birth, Isa Ice, Wunjo Joy","Earth Mother, Birth, Cosmic Coherence, Kinship, Heritage, Joy","Transmutation=2, Conjuration=1, Enchantment=1"
BIW,"Berkana Birth, Isa Ice, Wunjo Joy","Earth Mother, Birth, Cosmic Coherence, Kinship, Heritage, Joy","Transmutation=2, Conjuration=1, Enchantment=1"
BIX,"Berkana Birth, Isa Ice, Thurisaz Thor","Earth Mother, Birth, Cosmic Coherence, Protection, Polarity, Regeneration","Transmutation=3, Conjuration=1, Abjuration=1, Necromancy=1"
BIY,"Berkana Birth, Isa Ice, Eiwaz Death","Earth Mother, Birth, Cosmic Coherence,  Tree of Life, Dreaming, Magic","Transmutation=2, Conjuration=1, Divination=1, Illusion=1"
BIZ,"Berkana Birth, Isa Ice, Algiz Protection","Earth Mother, Birth, Cosmic Coherence, Divine Protection, Sanctuary","Transmutation=2, Conjuration=1, Abjuration=1"
BIA,"Berkana Birth, Isa Ice, Ansuz Odin","Earth Mother, Birth, Cosmic Coherence, God, Ancestors","Transmutation=2, Conjuration=1, Divination=1"
BIE,"Berkana Birth, Isa Ice, Ehwaz Fire","Earth Mother, Birth, Cosmic Coherence, Fire, Knowledge","Transmutation=2, Conjuration=1, Divination=1, Evocation=1"
BIO,"Berkana Birth, Isa Ice, Othila Ancestral","Earth Mother, Birth, Cosmic Coherence, Inherited Property, Genetics","Transmutation=3, Conjuration=1, Divination=1"
BIU,"Berkana Birth, Isa Ice, Uruz Power","Earth Mother, Birth, Cosmic Coherence, Primal Creative Force, Gateway","Transmutation=3, Conjuration=1, Evocation=1"
BOC,"Berkana Birth, Othila Ancestral, Kaunaz Fire","Earth Mother, Birth, Inherited Property, Genetics, Fire, Knowledge","Transmutation=2, Divination=2, Conjuration=1, Evocation=1"
BOD,"Berkana Birth, Othila Ancestral, Dagaz Dawn","Earth Mother, Birth, Inherited Property, Genetics, Intuition, Light Within","Transmutation=3, Divination=2, Conjuration=1"
BOF,"Berkana Birth, Othila Ancestral, Fehu Frey","Earth Mother, Birth, Inherited Property, Genetics, Wealth, Mother Rune","Transmutation=2, Conjuration=1, Divination=1, Enchantment=1"
BOG,"Berkana Birth, Othila Ancestral, Gebo Gift","Earth Mother, Birth, Inherited Property, Genetics, Divine Interaction","Transmutation=3, Conjuration=2, Divination=1"
BOH,"Berkana Birth, Othila Ancestral, Hagalaz Air","Earth Mother, Birth, Inherited Property, Genetics, Transformation, Egg of Life","Transmutation=3, Conjuration=1, Divination=1"
BOJ,"Berkana Birth, Othila Ancestral, Jera Earth","Earth Mother, Birth, Inherited Property, Genetics, Cycles, Right Action","Transmutation=3, Divination=2, Conjuration=1"
BOK,"Berkana Birth, Othila Ancestral, Kaunaz Fire","Earth Mother, Birth, Inherited Property, Genetics, Fire, Knowledge","Transmutation=2, Divination=2, Conjuration=1, Evocation=1"
BOL,"Berkana Birth, Othila Ancestral, Laguz Water","Earth Mother, Birth, Inherited Property, Genetics, Fertility, Living Renewal","Transmutation=3, Conjuration=2, Divination=1"
BOM,"Berkana Birth, Othila Ancestral, Mannaz Man","Earth Mother, Birth, Inherited Property, Genetics, Divine Union, Manifestation","Transmutation=3, Conjuration=2, Divination=1, Illusion=1"
BON,"Berkana Birth, Othila Ancestral, Nauthiz Necessity","Earth Mother, Birth, Inherited Property, Genetics, Needs, Friction, Shadow","Transmutation=2, Conjuration=1, Divination=1, Enchantment=1, Illusion=1, Necromancy=1"
BONG,"Berkana Birth, Othila Ancestral, Inguz Fertility","Earth Mother, Birth, Inherited Property, Genetics, True Love, Music, Harmony","Transmutation=3, Divination=2, Conjuration=1, Enchantment=1"
BOP,"Berkana Birth, Othila Ancestral, Peorth Hearth","Earth Mother, Birth, Inherited Property, Genetics, Divination, Luck, Primal Law","Transmutation=3, Divination=2, Conjuration=1"
